leto,država,bdp
1999,Turkey,108862
1999,Ukraine,36472
2000,United Kingdom,960428
2000,Germany,1859310
2000,France,1175737
2000,Spain,425089
2000,Italy,891770
2000,Portugal,82359
2000,Greece,83020
2000,Ireland,48166
2000,Andorra,1013
2000,Albania,2517
2000,Armenia,690
2000,Austria,169945
2000,Australia,375905
2000,Azerbaijan,2407
2000,Bosnia & Herzegovina,1339
2000,Belgium,198401
2000,Bulgaria,8162
2000,Belarus,16155
2000,Switzerland,246872
2000,Cyprus,6712
2000,Czech Republic,38750
2000,Denmark,131678
2000,Estonia,2037
2000,Finland,87157
2000,Georgia,881
2000,Croatia,12402
2000,Hungary,34910
2000,Israel,89964
2000,Iceland,5298
2000,Lithuania,3572
2000,Latvia,3407
2000,Monaco,2263
2000,Moldova,1482
2000,Montenegro,702
2000,Macedonia,3796
2000,Malta,2730
2000,The Netherlands,296155
2000,Norway,107144
2000,Poland,110546
2000,Romania,25246
2000,Serbia,21589
2000,Russia,316967
2000,Sweden,192863
2000,Slovenia,12130
2000,Slovakia,13003
2000,San Marino,745
2000,Turkey,108862
2000,Ukraine,40528
2001,United Kingdom,960428
2001,Germany,1859310
2001,France,1175737
2001,Spain,425089
2001,Italy,891770
2001,Portugal,82359
2001,Greece,83020
2001,Ireland,48166
2001,Andorra,1013
2001,Albania,2790
2001,Armenia,766
2001,Austria,169945
2001,Australia,416768
2001,Azerbaijan,2669
2001,Bosnia & Herzegovina,1484
2001,Belgium,198401
2001,Bulgaria,8162
2001,Belarus,17911
2001,Switzerland,246872
2001,Cyprus,6712
2001,Czech Republic,38750
2001,Denmark,131678
2001,Estonia,2037
2001,Finland,87157
2001,Georgia,977
2001,Croatia,12402
2001,Hungary,34910
2001,Israel,99744
2001,Iceland,5298
2001,Lithuania,3572
2001,Latvia,3407
2001,Monaco,2263
2001,Moldova,1643
2001,Montenegro,702
2001,Macedonia,4209
2001,Malta,2730
2001,The Netherlands,296155
2001,Norway,107144
2001,Poland,122563
2001,Romania,25246
2001,Serbia,23936
2001,Russia,351422
2001,Sweden,192863
2001,Slovenia,12130
2001,Slovakia,13003
2001,San Marino,745
2001,Turkey,108862
2001,Ukraine,44933
2002,United Kingdom,960428
2002,Germany,1859310
2002,France,1175737
2002,Spain,425089
2002,Italy,891770
2002,Portugal,82359
2002,Greece,83020
2002,Ireland,48166
2002,Andorra,1013
2002,Albania,2528
2002,Armenia,693
2002,Austria,169945
2002,Australia,377527
2002,Azerbaijan,2417
2002,Bosnia & Herzegovina,1344
2002,Belgium,198401
2002,Bulgaria,8162
2002,Belarus,16224
2002,Switzerland,246872
2002,Cyprus,6712
2002,Czech Republic,38750
2002,Denmark,131678
2002,Estonia,2037
2002,Finland,87157
2002,Georgia,885
2002,Croatia,12402
2002,Hungary,34910
2002,Israel,90353
2002,Iceland,5298
2002,Lithuania,3572
2002,Latvia,3407
2002,Monaco,2263
2002,Moldova,1488
2002,Montenegro,702
2002,Macedonia,3813
2002,Malta,2730
2002,The Netherlands,296155
2002,Norway,107144
2002,Poland,111023
2002,Romania,25246
2002,Serbia,21682
2002,Russia,318334
2002,Sweden,192863
2002,Slovenia,12130
2002,Slovakia,13003
2002,San Marino,745
2002,Turkey,108862
2002,Ukraine,40703
2003,United Kingdom,960428
2003,Germany,1859310
2003,France,1175737
2003,Spain,425089
2003,Italy,891770
2003,Portugal,82359
2003,Greece,83020
2003,Ireland,48166
2003,Andorra,1013
2003,Albania,2002
2003,Armenia,549
2003,Austria,169945
2003,Australia,299081
2003,Azerbaijan,1915
2003,Bosnia & Herzegovina,1065
2003,Belgium,198401
2003,Bulgaria,8162
2003,Belarus,12853
2003,Switzerland,246872
2003,Cyprus,6712
2003,Czech Republic,38750
2003,Denmark,131678
2003,Estonia,2037
2003,Finland,87157
2003,Georgia,701
2003,Croatia,12402
2003,Hungary,34910
2003,Israel,71578
2003,Iceland,5298
2003,Lithuania,3572
2003,Latvia,3407
2003,Monaco,2263
2003,Moldova,1179
2003,Montenegro,702
2003,Macedonia,3020
2003,Malta,2730
2003,The Netherlands,296155
2003,Norway,107144
2003,Poland,87954
2003,Romania,25246
2003,Serbia,17177
2003,Russia,252188
2003,Sweden,192863
2003,Slovenia,12130
2003,Slovakia,13003
2003,San Marino,745
2003,Turkey,108862
2003,Ukraine,32245
2004,United Kingdom,960428
2004,Germany,1859310
2004,France,1175737
2004,Spain,425089
2004,Italy,891770
2004,Portugal,82359
2004,Greece,83020
2004,Ireland,48166
2004,Andorra,1013
2004,Albania,1937
2004,Armenia,531
2004,Austria,169945
2004,Australia,289315
2004,Azerbaijan,1852
2004,Bosnia & Herzegovina,1030
2004,Belgium,198401
2004,Bulgaria,8162
2004,Belarus,12433
2004,Switzerland,246872
2004,Cyprus,6712
2004,Czech Republic,38750
2004,Denmark,131678
2004,Estonia,2037
2004,Finland,87157
2004,Georgia,678
2004,Croatia,12402
2004,Hungary,34910
2004,Israel,69241
2004,Iceland,5298
2004,Lithuania,3572
2004,Latvia,3407
2004,Monaco,2263
2004,Moldova,1140
2004,Montenegro,702
2004,Macedonia,2922
2004,Malta,2730
2004,The Netherlands,296155
2004,Norway,107144
2004,Poland,85082
2004,Romania,25246
2004,Serbia,16616
2004,Russia,243953
2004,Sweden,192863
2004,Slovenia,12130
2004,Slovakia,13003
2004,San Marino,745
2004,Turkey,108862
2004,Ukraine,31192
2005,United Kingdom,960428
2005,Germany,1859310
2005,France,1175737
2005,Spain,425089
2005,Italy,891770
2005,Portugal,82359
2005,Greece,83020
2005,Ireland,48166
2005,Andorra,1013
2005,Albania,1918
2005,Armenia,526
2005,Austria,169945
2005,Australia,286424
2005,Azerbaijan,1834
2005,Bosnia & Herzegovina,1020
2005,Belgium,198401
2005,Bulgaria,8162
2005,Belarus,12309
2005,Switzerland,246872
2005,Cyprus,6712
2005,Czech Republic,38750
2005,Denmark,131678
2005,Estonia,2037
2005,Finland,87157
2005,Georgia,671
2005,Croatia,12402
2005,Hungary,34910
2005,Israel,68549
2005,Iceland,5298
2005,Lithuania,3572
2005,Latvia,3407
2005,Monaco,2263
2005,Moldova,1129
2005,Montenegro,702
2005,Macedonia,2892
2005,Malta,2730
2005,The Netherlands,296155
2005,Norway,107144
2005,Poland,84232
2005,Romania,25246
2005,Serbia,16450
2005,Russia,241515
2005,Sweden,192863
2005,Slovenia,12130
2005,Slovakia,13003
2005,San Marino,745
2005,Turkey,108862
2005,Ukraine,30880
2006,United Kingdom,960428
2006,Germany,1859310
2006,France,1175737
2006,Spain,425089
2006,Italy,891770
2006,Portugal,82359
2006,Greece,83020
2006,Ireland,48166
2006,Andorra,1013
2006,Albania,1842
2006,Armenia,505
2006,Austria,169945
2006,Australia,275142
2006,Azerbaijan,1762
2006,Bosnia & Herzegovina,980
2006,Belgium,198401
2006,Bulgaria,8162
2006,Belarus,11824
2006,Switzerland,246872
2006,Cyprus,6712
2006,Czech Republic,38750
2006,Denmark,131678
2006,Estonia,2037
2006,Finland,87157
2006,Georgia,645
2006,Croatia,12402
2006,Hungary,34910
2006,Israel,65849
2006,Iceland,5298
2006,Lithuania,3572
2006,Latvia,3407
2006,Monaco,2263
2006,Moldova,1084
2006,Montenegro,702
2006,Macedonia,2779
2006,Malta,2730
2006,The Netherlands,296155
2006,Norway,107144
2006,Poland,80914
2006,Romania,25246
2006,Serbia,15802
2006,Russia,232002
2006,Sweden,192863
2006,Slovenia,12130
2006,Slovakia,13003
2006,San Marino,745
2006,Turkey,108862
2006,Ukraine,29664
2007,United Kingdom,960428
2007,Germany,1859310
2007,France,1175737
2007,Spain,425089
2007,Italy,891770
2007,Portugal,82359
2007,Greece,83020
2007,Ireland,48166
2007,Andorra,1013
2007,Albania,1754
2007,Armenia,481
2007,Austria,169945
2007,Australia,262062
2007,Azerbaijan,1678
2007,Bosnia & Herzegovina,933
2007,Belgium,198401
2007,Bulgaria,8162
2007,Belarus,11262
2007,Switzerland,246872
2007,Cyprus,6712
2007,Czech Republic,38750
2007,Denmark,131678
2007,Estonia,2037
2007,Finland,87157
2007,Georgia,614
2007,Croatia,12402
2007,Hungary,34910
2007,Israel,62718
2007,Iceland,5298
2007,Lithuania,3572
2007,Latvia,3407
2007,Monaco,2263
2007,Moldova,1033
2007,Montenegro,702
2007,Macedonia,2646
2007,Malta,2730
2007,The Netherlands,296155
2007,Norway,107144
2007,Poland,77067
2007,Romania,25246
2007,Serbia,15051
2007,Russia,220973
2007,Sweden,192863
2007,Slovenia,12130
2007,Slovakia,13003
2007,San Marino,745
2007,Turkey,108862
2007,Ukraine,28254
2008,United Kingdom,960428
2008,Germany,1859310
2008,France,1175737
2008,Spain,425089
2008,Italy,891770
2008,Portugal,82359
2008,Greece,83020
2008,Ireland,48166
2008,Andorra,1013
2008,Albania,1518
2008,Armenia,416
2008,Austria,169945
2008,Australia,226699
2008,Azerbaijan,1451
2008,Bosnia & Herzegovina,807
2008,Belgium,198401
2008,Bulgaria,8162
2008,Belarus,9742
2008,Switzerland,246872
2008,Cyprus,6712
2008,Czech Republic,38750
2008,Denmark,131678
2008,Estonia,2037
2008,Finland,87157
2008,Georgia,531
2008,Croatia,12402
2008,Hungary,34910
2008,Israel,54255
2008,Iceland,5298
2008,Lithuania,3572
2008,Latvia,3407
2008,Monaco,2263
2008,Moldova,893
2008,Montenegro,702
2008,Macedonia,2289
2008,Malta,2730
2008,The Netherlands,296155
2008,Norway,107144
2008,Poland,66668
2008,Romania,25246
2008,Serbia,13020
2008,Russia,191155
2008,Sweden,192863
2008,Slovenia,12130
2008,Slovakia,13003
2008,San Marino,745
2008,Turkey,108862
2008,Ukraine,24441
2009,United Kingdom,960428
2009,Germany,1859310
2009,France,1175737
2009,Spain,425089
2009,Italy,891770
2009,Portugal,82359
2009,Greece,83020
2009,Ireland,48166
2009,Andorra,1013
2009,Albania,1668
2009,Armenia,457
2009,Austria,169945
2009,Australia,249123
2009,Azerbaijan,1595
2009,Bosnia & Herzegovina,887
2009,Belgium,198401
2009,Bulgaria,8162
2009,Belarus,10706
2009,Switzerland,246872
2009,Cyprus,6712
2009,Czech Republic,38750
2009,Denmark,131678
2009,Estonia,2037
2009,Finland,87157
2009,Georgia,584
2009,Croatia,12402
2009,Hungary,34910
2009,Israel,59622
2009,Iceland,5298
2009,Lithuania,3572
2009,Latvia,3407
2009,Monaco,2263
2009,Moldova,982
2009,Montenegro,702
2009,Macedonia,2516
2009,Malta,2730
2009,The Netherlands,296155
2009,Norway,107144
2009,Poland,73262
2009,Romania,25246
2009,Serbia,14307
2009,Russia,210062
2009,Sweden,192863
2009,Slovenia,12130
2009,Slovakia,13003
2009,San Marino,745
2009,Turkey,108862
2009,Ukraine,26859
2010,United Kingdom,960428
2010,Germany,1859310
2010,France,1175737
2010,Spain,425089
2010,Italy,891770
2010,Portugal,82359
2010,Greece,83020
2010,Ireland,48166
2010,Andorra,1013
2010,Albania,1918
2010,Armenia,526
2010,Austria,169945
2010,Australia,286530
2010,Azerbaijan,1835
2010,Bosnia & Herzegovina,1020
2010,Belgium,198401
2010,Bulgaria,8162
2010,Belarus,12314
2010,Switzerland,246872
2010,Cyprus,6712
2010,Czech Republic,38750
2010,Denmark,131678
2010,Estonia,2037
2010,Finland,87157
2010,Georgia,672
2010,Croatia,12402
2010,Hungary,34910
2010,Israel,68574
2010,Iceland,5298
2010,Lithuania,3572
2010,Latvia,3407
2010,Monaco,2263
2010,Moldova,1129
2010,Montenegro,702
2010,Macedonia,2894
2010,Malta,2730
2010,The Netherlands,296155
2010,Norway,107144
2010,Poland,84263
2010,Romania,25246
2010,Serbia,16456
2010,Russia,241605
2010,Sweden,192863
2010,Slovenia,12130
2010,Slovakia,13003
2010,San Marino,745
2010,Turkey,108862
2010,Ukraine,30892
2011,United Kingdom,960428
2011,Germany,1859310
2011,France,1175737
2011,Spain,425089
2011,Italy,891770
2011,Portugal,82359
2011,Greece,83020
2011,Ireland,48166
2011,Andorra,1013
2011,Albania,1639
2011,Armenia,450
2011,Austria,169945
2011,Australia,244892
2011,Azerbaijan,1568
2011,Bosnia & Herzegovina,872
2011,Belgium,198401
2011,Bulgaria,8162
2011,Belarus,10524
2011,Switzerland,246872
2011,Cyprus,6712
2011,Czech Republic,38750
2011,Denmark,131678
2011,Estonia,2037
2011,Finland,87157
2011,Georgia,574
2011,Croatia,12402
2011,Hungary,34910
2011,Israel,58609
2011,Iceland,5298
2011,Lithuania,3572
2011,Latvia,3407
2011,Monaco,2263
2011,Moldova,965
2011,Montenegro,702
2011,Macedonia,2473
2011,Malta,2730
2011,The Netherlands,296155
2011,Norway,107144
2011,Poland,72018
2011,Romania,25246
