"Date","Price","Open","High","Low","Change %"
"Jun 17","0.8752","0.8893","0.8996","0.8737","-1.60%"
"May 17","0.8894","0.9169","0.9227","0.8875","-3.08%"
"Apr 17","0.9177","0.9380","0.9462","0.9132","-2.24%"
"Mar 17","0.9387","0.9455","0.9529","0.9170","-0.72%"
"Feb 17","0.9455","0.9263","0.9530","0.9234","2.09%"
"Jan 17","0.9261","0.9496","0.9671","0.9249","-2.61%"
"Dec 16","0.9509","0.9445","0.9661","0.9197","0.68%"
"Nov 16","0.9445","0.9107","0.9508","0.8850","3.72%"
"Oct 16","0.9106","0.8900","0.9217","0.8892","2.36%"
"Sep 16","0.8896","0.8963","0.8993","0.8829","-0.74%"
"Aug 16","0.8962","0.8946","0.9054","0.8799","0.13%"
"Jul 16","0.8950","0.9003","0.9131","0.8930","-0.60%"
"Jun 16","0.9004","0.8982","0.9164","0.8746","0.23%"
"May 16","0.8983","0.8738","0.9012","0.8610","2.90%"
"Apr 16","0.8730","0.8787","0.8915","0.8722","-0.66%"
"Mar 16","0.8788","0.9197","0.9242","0.8762","-4.45%"
"Feb 16","0.9197","0.9231","0.9248","0.8791","-0.34%"
"Jan 16","0.9228","0.9209","0.9338","0.9104","0.23%"
"Dec 15","0.9207","0.9462","0.9489","0.9041","-2.74%"
"Nov 15","0.9466","0.9067","0.9473","0.9048","4.18%"
"Oct 15","0.9086","0.8946","0.9180","0.8699","1.55%"
"Sep 15","0.8947","0.8919","0.9020","0.8725","0.34%"
"Aug 15","0.8917","0.9118","0.9220","0.8541","-2.02%"
"Jul 15","0.9101","0.8975","0.9252","0.8915","1.36%"
"Jun 15","0.8979","0.9104","0.9187","0.8745","-1.34%"
"May 15","0.9101","0.8909","0.9243","0.8719","2.16%"
"Apr 15","0.8909","0.9315","0.9507","0.8877","-4.40%"
"Mar 15","0.9319","0.8938","0.9563","0.8896","4.33%"
"Feb 15","0.8932","0.8862","0.8950","0.8671","0.82%"
"Jan 15","0.8859","0.8267","0.9011","0.8259","7.17%"
"Dec 14","0.8266","0.8032","0.8267","0.7956","2.93%"
"Nov 14","0.8031","0.7988","0.8092","0.7937","0.59%"
"Oct 14","0.7984","0.7916","0.8008","0.7760","0.86%"
"Sep 14","0.7916","0.7612","0.7954","0.7599","3.97%"
"Aug 14","0.7614","0.7469","0.7614","0.7438","1.94%"
"Jul 14","0.7469","0.7304","0.7481","0.7298","2.26%"
"Jun 14","0.7304","0.7333","0.7406","0.7300","-0.45%"
"May 14","0.7337","0.7210","0.7360","0.7146","1.75%"
"Apr 14","0.7211","0.7262","0.7315","0.7192","-0.69%"
"Mar 14","0.7261","0.7255","0.7297","0.7159","0.22%"
"Feb 14","0.7245","0.7411","0.7419","0.7233","-2.29%"
"Jan 14","0.7415","0.7276","0.7419","0.7259","1.92%"
"Dec 13","0.7275","0.7358","0.7395","0.7198","-1.13%"
"Nov 13","0.7358","0.7362","0.7521","0.7341","-0.04%"
"Oct 13","0.7361","0.7393","0.7423","0.7230","-0.43%"
"Sep 13","0.7393","0.7556","0.7632","0.7370","-2.23%"
"Aug 13","0.7562","0.7517","0.7591","0.7433","0.59%"
"Jul 13","0.7518","0.7684","0.7841","0.7494","-2.20%"
"Jun 13","0.7687","0.7695","0.7720","0.7454","-0.08%"
"May 13","0.7693","0.7595","0.7816","0.7553","1.30%"
"Apr 13","0.7594","0.7804","0.7844","0.7573","-2.64%"
"Mar 13","0.7800","0.7656","0.7844","0.7614","1.92%"
"Feb 13","0.7653","0.7365","0.7681","0.7292","3.92%"
"Jan 13","0.7364","0.7582","0.7694","0.7356","-2.82%"
"Dec 12","0.7578","0.7704","0.7765","0.7514","-1.44%"
"Nov 12","0.7689","0.7716","0.7899","0.7675","-0.38%"
"Oct 12","0.7718","0.7784","0.7811","0.7611","-0.78%"
